date, value
10/7/11,0.07
10/8/11,0.07
10/9/11,0.07
10/10/11,0.07
10/11/11,0.07
10/12/11,0.07
10/13/11,0.07
10/14/11,0.07
10/15/11,0.07
10/16/11,0.07
10/17/11,0.07
10/18/11,0.07
10/19/11,0.07
10/20/11,0.07
10/21/11,0.07
10/22/11,0.07
10/23/11,0.07
10/24/11,0.07
10/25/11,0.07
10/26/11,0.08
10/27/11,0.07
10/28/11,0.07
10/29/11,0.07
10/30/11,0.07
10/31/11,0.09
11/1/11,0.08
11/2/11,0.08
11/3/11,0.09
11/4/11,0.08
11/5/11,0.08
11/6/11,0.08
11/7/11,0.08
11/8/11,0.08
11/9/11,0.08
11/10/11,0.08
11/11/11,0.08
11/12/11,0.08
11/13/11,0.08
11/14/11,0.08
11/15/11,0.09
11/16/11,0.08
11/17/11,0.08
11/18/11,0.08
11/19/11,0.08
11/20/11,0.08
11/21/11,0.08
11/22/11,0.08
11/23/11,0.09
11/24/11,0.09
11/25/11,0.07
11/26/11,0.07
11/27/11,0.07
11/28/11,0.08
11/29/11,0.08
11/30/11,0.1
12/1/11,0.08
12/2/11,0.08
12/3/11,0.08
12/4/11,0.08
12/5/11,0.08
12/6/11,0.08
12/7/11,0.08
12/8/11,0.07
12/9/11,0.07
12/10/11,0.07
12/11/11,0.07
12/12/11,0.07
12/13/11,0.07
12/14/11,0.07
12/15/11,0.07
12/16/11,0.07
12/17/11,0.07
12/18/11,0.07
12/19/11,0.07
12/20/11,0.07
12/21/11,0.07
12/22/11,0.07
12/23/11,0.08
12/24/11,0.08
12/25/11,0.08
12/26/11,0.08
12/27/11,0.07
12/28/11,0.07
12/29/11,0.07
12/30/11,0.04
12/31/11,0.04
1/1/12,0.04
1/2/12,0.04
1/3/12,0.07
1/4/12,0.07
1/5/12,0.07
1/6/12,0.07
1/7/12,0.07
1/8/12,0.07
1/9/12,0.08
1/10/12,0.08
1/11/12,0.08
1/12/12,0.08
1/13/12,0.09
1/14/12,0.09
1/15/12,0.09
1/16/12,0.09
1/17/12,0.09
1/18/12,0.09
1/19/12,0.1
1/20/12,0.09
1/21/12,0.09
1/22/12,0.09
1/23/12,0.09
1/24/12,0.09
1/25/12,0.08
1/26/12,0.08
1/27/12,0.09
1/28/12,0.09
1/29/12,0.09
1/30/12,0.09
1/31/12,0.11
2/1/12,0.11
2/2/12,0.11
2/3/12,0.11
2/4/12,0.11
2/5/12,0.11
2/6/12,0.11
2/7/12,0.11
2/8/12,0.11
2/9/12,0.11
2/10/12,0.12
2/11/12,0.12
2/12/12,0.12
2/13/12,0.12
2/14/12,0.12
2/15/12,0.12
2/16/12,0.11
2/17/12,0.09
2/18/12,0.09
2/19/12,0.09
2/20/12,0.09
2/21/12,0.1
2/22/12,0.08
2/23/12,0.08
2/24/12,0.09
2/25/12,0.09
2/26/12,0.09
2/27/12,0.1
2/28/12,0.1
2/29/12,0.1
3/1/12,0.11
3/2/12,0.11
3/3/12,0.11
3/4/12,0.11
3/5/12,0.11
3/6/12,0.11
3/7/12,0.11
3/8/12,0.11
3/9/12,0.12
3/10/12,0.12
3/11/12,0.12
3/12/12,0.12
3/13/12,0.12
3/14/12,0.13
3/15/12,0.14
3/16/12,0.15
3/17/12,0.15
3/18/12,0.15
3/19/12,0.15
3/20/12,0.15
3/21/12,0.15
3/22/12,0.14
3/23/12,0.14
3/24/12,0.14
3/25/12,0.14
3/26/12,0.14
3/27/12,0.14
3/28/12,0.13
3/29/12,0.13
3/30/12,0.09
3/31/12,0.09
4/1/12,0.09
4/2/12,0.15
4/3/12,0.15
4/4/12,0.15
4/5/12,0.15
4/6/12,0.12
4/7/12,0.12
4/8/12,0.12
4/9/12,0.16
4/10/12,0.15
4/11/12,0.16
4/12/12,0.15
4/13/12,0.15
4/14/12,0.15
4/15/12,0.15
4/16/12,0.15
4/17/12,0.16
4/18/12,0.15
4/19/12,0.13
4/20/12,0.12
4/21/12,0.12
4/22/12,0.12
4/23/12,0.13
4/24/12,0.14
4/25/12,0.15
4/26/12,0.14
4/27/12,0.13
4/28/12,0.13
4/29/12,0.13
4/30/12,0.16
5/1/12,0.16
5/2/12,0.15
5/3/12,0.15
5/4/12,0.16
5/5/12,0.16
5/6/12,0.16
5/7/12,0.16
5/8/12,0.16
5/9/12,0.15
5/10/12,0.15
5/11/12,0.15
5/12/12,0.15
5/13/12,0.15
5/14/12,0.16
5/15/12,0.16
5/16/12,0.16
5/17/12,0.16
5/18/12,0.16
5/19/12,0.16
5/20/12,0.16
5/21/12,0.16
5/22/12,0.16
5/23/12,0.15
5/24/12,0.15
5/25/12,0.15
5/26/12,0.15
5/27/12,0.15
5/28/12,0.15
5/29/12,0.16
5/30/12,0.16
5/31/12,0.16
6/1/12,0.16
6/2/12,0.16
6/3/12,0.16
6/4/12,0.17
6/5/12,0.17
6/6/12,0.16
6/7/12,0.16
6/8/12,0.17
6/9/12,0.17
6/10/12,0.17
6/11/12,0.17
6/12/12,0.16
6/13/12,0.17
6/14/12,0.17
6/15/12,0.18
6/16/12,0.18
6/17/12,0.18
6/18/12,0.17
6/19/12,0.17
6/20/12,0.16
6/21/12,0.17
6/22/12,0.17
6/23/12,0.17
6/24/12,0.17
6/25/12,0.17
6/26/12,0.16
6/27/12,0.15
6/28/12,0.15
6/29/12,0.09
6/30/12,0.09
7/1/12,0.09
7/2/12,0.18
7/3/12,0.17
7/4/12,0.17
7/5/12,0.17
7/6/12,0.17
7/7/12,0.17
7/8/12,0.17
7/9/12,0.17
7/10/12,0.17
7/11/12,0.17
7/12/12,0.18
7/13/12,0.19
7/14/12,0.19
7/15/12,0.19
7/16/12,0.18
7/17/12,0.17
7/18/12,0.16
7/19/12,0.13
7/20/12,0.13
7/21/12,0.13
7/22/12,0.13
7/23/12,0.14
7/24/12,0.15
7/25/12,0.15
7/26/12,0.14
7/27/12,0.14
7/28/12,0.14
7/29/12,0.14
7/30/12,0.14
7/31/12,0.13
8/1/12,0.14
8/2/12,0.14
8/3/12,0.14
8/4/12,0.14
8/5/12,0.14
8/6/12,0.14
8/7/12,0.13
8/8/12,0.13
8/9/12,0.13
8/10/12,0.13
8/11/12,0.13
8/12/12,0.13
8/13/12,0.13
8/14/12,0.13
8/15/12,0.13
8/16/12,0.13
8/17/12,0.13
8/18/12,0.13
8/19/12,0.13
8/20/12,0.13
8/21/12,0.13
8/22/12,0.13
8/23/12,0.13
8/24/12,0.13
8/25/12,0.13
8/26/12,0.13
8/27/12,0.13
8/28/12,0.13
8/29/12,0.13
8/30/12,0.14
8/31/12,0.13
9/1/12,0.13
9/2/12,0.13
9/3/12,0.13
9/4/12,0.14
9/5/12,0.16
9/6/12,0.16
9/7/12,0.15
9/8/12,0.15
9/9/12,0.15
