,RegionID,RegionName,City,State,Metro,CountyName,District,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,Average,,,,
423,62014,11203,New York,NY,New York,Kings,Brooklyn,424,149000,149200,149400,149600,149700,149900,150100,150400,150900,151300,151800,152100,152400,152800,153400,154000,154600,155300,156000,156700,157600,158500,159200,159700,160200,160700,161300,161900,162500,163100,163800,164500,165500,166500,167400,168200,169100,170100,171200,172400,173700,175000,176400,177700,179200,180800,182100,183200,184200,185300,186400,187500,188700,189800,191000,192400,193900,195600,197200,198900,200700,202700,204800,207200,209600,212100,214700,217500,220300,223000,225500,227800,230000,232200,234400,236600,239000,241300,243800,246000,248200,251100,255000,259400,263700,267000,269000,269700,269900,269900,270200,271000,272400,274000,275500,276700,277700,279300,281600,285000,289300,294700,300600,306700,312700,318400,324000,330200,336700,343100,349500,356200,363200,370000,376100,381100,384700,387000,388200,389700,392600,396900,402000,407700,413200,417700,421200,424000,426700,429800,432400,435000,437600,439200,439100,438900,438300,437000,435000,433200,432200,432900,434200,436400,438800,439300,436900,432800,427300,421200,415300,409300,403000,397100,390400,383900,377400,370200,362000,355900,352200,350100,349100,349000,349900,348200,347600,344200,337100,332200,334600,336000,335700,333900,332600,332000,331900,331600,330600,329600,330900,334300,336500,336400,334900,335100,335000,334300,333400,333500,335300,338100,339400,339300,338500,337800,337100,335900,336600,338400,339700,340900,341800,343600,348400,352200,354600,358300,361700,362700,362600,361700,361000,361000,360700,359900,358600,358900,359200,358300,357400,360200,363400,365400,366700,369300,371700,374000,375700,376800,377900,382400,389900,397300,402800,405800,407300,410000,412700,414100,417300,424400,430900,435800,439500,439700,438800,440100,443000,446400,450700,453700,453100,450500,449000,450900,454600,458800,462800,468700,474500,475300,474800,481000,489900,479100,,,,
439,62031,11220,New York,NY,New York,Kings,Brooklyn,440,188500,188700,188800,189000,189400,189800,190400,191200,192200,193400,194300,194900,195500,196000,196500,197100,197900,198900,200000,201300,202900,204500,206000,207100,208100,209100,210100,211200,212500,214000,215700,217600,219900,222200,224200,226000,227700,229300,230900,232700,234700,236900,239300,242100,245100,248200,251000,253400,255600,257800,259800,262000,264400,267000,269900,273100,276600,280200,283300,286200,288800,291100,293400,295800,298400,301200,304300,307700,311400,314800,317700,320100,321900,323500,324800,326300,328100,330400,333300,335700,338000,341700,348100,356500,367000,379300,392200,403700,412400,418300,422700,426500,430200,433400,435200,435800,435400,435100,436100,438900,443600,449600,456500,464000,472100,480900,491400,504700,519600,533800,546500,558500,570200,581200,590400,597500,602100,604000,603000,600800,598000,595300,593000,592100,592400,592900,592200,590300,587700,585500,584000,584100,584500,583700,581400,579400,578200,577600,576400,575300,575100,576600,579300,584000,588400,589700,587500,584400,581500,579400,576600,573000,568800,564800,560500,557400,554100,548900,541600,535600,532800,533900,537500,542700,553300,563100,565700,556400,546100,544600,552800,554800,548400,539000,534400,533000,530100,528200,533300,540700,548100,557700,570200,581300,589700,591300,589700,589400,590700,590900,591600,595100,597100,591000,583200,582400,584200,586700,592600,601300,607300,609500,608800,612300,620100,629800,636300,641000,646900,657900,667100,669800,670500,674600,680800,684500,683300,680800,677900,677200,680000,684100,688300,695400,699600,701200,702300,704600,714900,729900,741000,751300,765800,779500,789400,792100,792300,797300,807500,816600,822000,825000,826700,826000,826800,829100,833200,841000,851800,857900,858800,860100,862700,868800,878700,893000,906100,918500,918400,909000,903000,906500,910700,915600,917900,910740,,,,
475,62027,11216,New York,NY,New York,Kings,Brooklyn,476,146100,146600,147200,147700,148400,149300,150200,151300,152700,154100,155200,156200,157000,157800,158400,159100,159800,160700,161700,162800,164000,165300,166300,167100,167800,168400,168900,169500,170200,171200,172500,173900,175600,177500,179200,180800,182300,183800,185400,187000,188900,191000,193400,196000,198900,201900,204700,207300,209600,211800,213800,215800,217900,220300,222800,225400,228200,230900,233400,235400,237200,238600,239900,241100,242600,244400,246400,248600,251100,253500,255600,257400,258800,259900,260700,261500,262700,264400,266500,268500,270300,273000,277500,283900,292700,304200,317300,329500,338700,344300,348000,351800,356700,362600,368600,374200,379000,383200,387500,393000,400000,408200,416800,424800,431600,437500,443300,450000,457700,466200,475200,485000,495700,507200,518900,529700,539000,546200,551100,555300,560100,566200,573900,583200,593200,603300,612800,621200,629000,636400,642900,649000,654800,659200,661400,662500,662700,663000,664400,668300,675700,686300,698000,709700,719400,724600,723100,713900,698700,681600,664600,647100,628700,610900,592900,575200,558400,542300,526400,513000,502700,495700,491400,489600,489500,490200,490600,489000,483400,478500,475700,474300,475100,478900,484500,492700,499500,502500,505500,510100,514800,518500,524800,533600,541500,545400,546700,545000,545500,549500,558300,567600,577600,587300,596300,601200,603500,608000,617000,625300,628000,631400,635200,638300,645700,660800,680400,704900,728400,744700,752500,757800,766200,777900,792400,810600,829200,852900,877300,893800,905600,915900,926500,950700,991400,1027800,1048100,1059800,1071200,1071000,1068400,1069600,1087300,1128100,1175200,1197900,1206300,1216700,1234400,1257800,1291000,1325900,1351600,1368500,1382200,1387400,1398100,1425600,1450300,1461500,1457400,1450600,1440500,1430800,1424800,1452000,1506100,1553100,1567700,1559700,1545700,1540200,1553600,1578400,1598700,1563320,,,,
407,62080,11368,New York,NY,New York,Queens,#N/A,408,160700,160900,161100,161400,161700,162100,162500,163200,164000,164600,164800,164800,164900,165100,165500,165900,166400,167000,167600,168600,169800,170800,171300,171700,172200,172900,173800,174700,175800,177000,178400,180000,181900,183600,184900,186100,187400,189100,190900,192900,195100,197400,199900,202800,206100,209000,211300,213400,215700,218200,220800,223600,226500,229400,232300,235600,239100,242100,244300,246100,248000,250000,252200,254400,256700,258900,261000,263400,265900,267700,268400,268600,268700,269200,269900,270600,271500,272600,274300,273200,271500,275200,285900,298600,311100,321500,330300,337700,343600,348800,353800,359400,365200,369700,372800,375700,379300,383700,388900,394900,401300,408300,415500,423800,432600,440100,446200,452400,459200,466900,475800,485700,495900,506200,515700,525500,535100,542900,548900,553900,558100,561800,565100,567700,569900,571400,571700,572100,573300,575100,577600,580100,580800,579800,577700,574800,572700,571600,570600,569300,565900,560100,554000,547800,540400,533400,527300,520800,513800,506500,499300,492300,485200,477800,471200,464400,456500,448500,441600,436100,432300,429400,427300,426200,429300,435300,435400,433500,434900,435600,436700,442400,445000,443300,444100,443900,441800,439400,437600,434900,434600,436100,433000,426100,422100,422100,418800,412900,404100,397400,394600,392900,388700,386500,388500,389800,390000,389600,389600,393300,401000,405300,408400,415500,426700,437300,445500,450800,455000,460000,466200,470800,473800,477300,481600,484600,485300,484400,484800,485900,487900,491500,497300,503900,509600,514100,521100,529700,534600,537800,543500,550600,556800,560300,561600,563800,566800,571200,577000,582000,588700,598500,608400,620700,634700,646300,656200,665300,671200,676600,681300,685600,689000,692300,693700,695400,699300,705700,710300,714800,720700,727100,731400,734100,735400,729740,,,,
700,62021,11210,New York,NY,New York,Kings,Brooklyn,701,187300,187300,187200,187100,187000,186800,186800,186800,187100,187500,187900,187900,188000,188300,188600,189100,190000,191000,192400,194000,196000,198300,200400,202100,203700,205400,207000,208500,210000,211500,213200,215000,217100,219500,221800,223800,226000,228200,230600,233200,236000,239100,242500,246200,250400,254900,259100,262900,266600,270000,273300,276400,279500,282500,285500,288700,292200,295700,299000,302000,304800,307400,309900,312400,314900,317400,320100,322900,326000,328900,331400,333600,335300,336800,338200,339800,341600,343800,346500,349200,352200,356400,362500,370200,379500,390000,400800,410500,417800,422900,426800,430300,433900,437400,441200,445200,449300,453100,456600,460700,466200,473400,481800,491000,500600,509900,518400,526500,534400,541800,549100,557600,567300,577300,586000,591700,593100,590800,585500,579500,574800,572100,570500,570000,569600,568300,566000,563600,562300,563200,565300,569100,574800,580100,582400,583100,582700,581000,578600,576600,575300,575600,576200,577200,578300,577100,571000,562900,554900,546900,538800,530800,522600,515100,507200,499700,493600,487100,479200,474300,473500,475000,478300,483000,488900,491200,492800,484600,468100,457200,459500,458800,453600,447000,444800,445300,446100,446600,451400,463600,478500,489900,499600,508600,513800,520100,524700,527700,530600,533600,534400,535000,531800,524300,514500,509200,507800,506400,502800,498400,493800,492100,491100,493100,503100,517400,527400,534900,541000,544400,546500,549200,554300,561500,565400,565800,564200,562100,561900,566600,576500,591800,606500,617300,623300,626800,628000,627600,629300,636900,647600,656400,661900,661800,660800,659700,660200,663200,669900,676500,681700,683700,682300,679800,681100,686700,692600,701000,707600,710700,716800,729600,742600,754900,766600,777600,785800,792000,797600,800200,802900,809100,814500,816900,819600,812600,,,,
811,62035,11224,New York,NY,New York,Kings,Brooklyn,812,158000,157300,156700,156100,155600,155000,154400,153700,153000,152400,151800,151100,150300,149600,148900,148300,147800,147200,146600,145900,145300,144700,144200,143700,143100,142800,142500,142400,142400,142600,142700,143000,143200,143700,144200,144800,145400,146000,146800,147600,148500,149500,150300,151100,151800,152600,153400,154000,154700,155300,156000,156800,157500,158300,159100,159800,160500,161300,162300,163200,164200,165300,166600,168100,169800,171500,173300,175100,176900,178900,181000,182900,184900,187000,189100,191300,193700,196000,198100,201300,205200,208700,212000,216000,220100,223200,224800,224700,223900,223300,224300,226700,230500,234900,239700,244300,248700,253200,258200,263400,268600,273400,277600,281000,283900,286700,289500,292500,295900,299800,304700,311700,320600,330600,340000,347700,353300,357200,359700,362100,365600,369900,374600,379100,382600,384600,385000,384400,383800,383400,382600,382200,382100,380700,377900,375500,373900,372900,371400,369600,369000,369300,369400,370600,373500,375800,376500,376000,374600,373000,370600,367700,366200,364900,362400,360600,360000,358500,355700,353700,353400,355200,357700,361000,365600,370800,373900,369000,359800,356600,360900,362900,362000,358500,357100,356000,352600,347200,350500,360200,366800,365000,360800,357900,355800,353200,349400,347700,349400,354400,361300,367900,374600,382800,391100,397800,401700,410100,430000,448700,450000,444700,436600,426800,419200,417600,416000,415200,414800,409800,397700,387300,382900,380800,376900,372100,368400,367300,366300,365700,364200,364600,365100,366500,371700,379300,382900,386800,393400,397900,398800,401800,408800,415000,418300,421000,424800,427400,430400,433000,435000,437200,441300,444900,449100,452600,452500,451700,453800,455100,455100,458800,464700,468400,471600,477800,484900,490800,494400,496000,498700,502000,505600,511600,517900,507160,,,,
1155,62033,11222,New York,NY,New York,Kings,Brooklyn,1156,149200,148400,147500,146600,146000,145600,145400,145600,146100,146600,146900,147100,147200,147200,147200,147400,147800,148500,149400,150800,152400,154100,155500,156600,157500,158200,158800,159500,160400,161500,162900,164800,167100,169300,171300,173000,174700,176200,177700,179400,181500,184000,186800,190300,194200,198200,201700,204900,207800,210300,212500,214900,217500,220500,223700,227400,231600,235500,238800,241400,243400,244800,245800,246700,248000,249700,251800,254500,257400,260000,261800,262800,262800,261900,260500,259400,258800,258900,259900,259800,259300,261400,267100,274700,285600,300300,317700,334900,349100,360000,368200,374100,378200,380700,382000,383200,384700,387700,392700,399900,408800,418900,430100,442600,456400,470800,486700,505900,526600,545300,560400,572800,584300,595800,606900,618100,629000,638300,644700,649900,655000,659600,663000,665600,667600,669200,670200,670500,670600,670800,669400,667900,666400,664500,662400,662400,663400,663500,661600,659500,659400,661900,664200,666700,668100,665000,656200,647100,640900,637900,635700,634300,633800,633600,630600,627000,623700,619000,611700,605800,602800,602800,603600,605200,608300,608500,610000,599200,581600,577400,593100,605800,612200,613700,618400,622800,621500,621900,635100,662400,694100,714500,721300,727000,732600,737100,734300,731800,730800,727600,715800,707800,706100,703000,693500,691900,699800,709700,725000,741200,749300,754400,763400,774800,788600,808800,839100,862300,865600,863400,866600,870800,888300,924400,954100,959900,953400,953400,957600,967200,993800,1031900,1064100,1099600,1142300,1169700,1187400,1217600,1244300,1273000,1325100,1386200,1431600,1454500,1461500,1463900,1475600,1485100,1505400,1532700,1565000,1585200,1586900,1563900,1538000,1548600,1584500,1612800,1616200,1615200,1612300,1607300,1615100,1621100,1603600,1598000,1623800,1638700,1640400,1644100,1651200,1661800,1672800,1694000,1721100,1680180,,,,
1434,62016,11205,New York,NY,New York,Kings,Brooklyn,1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833100,821400,812000,805500,801400,798400,797800,803300,818000,840600,868800,899700,930000,959700,990400,1017500,1036600,1050700,1065000,1081700,1099000,1113700,1126800,1141500,1158200,1176200,1194500,1207100,1211200,1215400,1230400,1258600,1295800,1334600,1371400,1404000,1427600,1439900,1446400,1446200,1435100,1416100,1396000,1377800,1362400,1349200,1340900,1341000,1348300,1362800,1386600,1411200,1423700,1421700,1411700,1400900,1393500,1387600,1379800,1368800,1355000,1340700,1332200,1327100,1316400,1300800,1290900,1291300,1302500,1321200,1338400,1355000,1383000,1396200,1354800,1299200,1287300,1307800,1318800,1296600,1258500,1245600,1262100,1273300,1276400,1290900,1320500,1344300,1349900,1345800,1343800,1350200,1366200,1366100,1333400,1299000,1273700,1254700,1248800,1256700,1277100,1304100,1328600,1358000,1373600,1375700,1394400,1431800,1448900,1459500,1480700,1504700,1515400,1535700,1570100,1606300,1640100,1658800,1659500,1670200,1700200,1718500,1727000,1736700,1752000,1764200,1773100,1792300,1852300,1911700,1957000,1994300,2026100,2056900,2114000,2163400,2188500,2218300,2258300,2303900,2354500,2405900,2431600,2443700,2463800,2494300,2486200,2483200,2497700,2490300,2501000,2519100,2447100,2364800,2357000,2351000,2339100,2351000,2376000,2398000,2389700,2333600,2267400,2230800,2226800,2241400,2248400,2251000,2251600,2245300,2243700,2248400,2248000,,,,
552,62066,11354,New York,NY,New York,Queens,#N/A,553,225300,226500,227800,229200,230700,232100,233500,235000,236700,238200,239000,239500,240100,241000,242200,243500,244900,246300,247700,249400,251400,253100,254100,254800,255800,257300,259000,260900,263000,265200,267400,270000,272900,275400,277200,278700,280700,283100,285900,288900,292100,295400,298700,302500,306600,310200,312900,315400,318100,321400,325100,329100,333100,337100,341200,345600,350300,354100,356800,359000,361500,364600,368100,371800,375500,379100,382500,386100,389800,392400,393400,393900,394700,396300,398600,401200,403900,406600,410000,409800,409100,415500,430900,448100,462900,472000,476500,477900,477800,477800,479100,483000,489500,496500,503400,511000,519900,529900,540900,552500,564200,575900,587100,598000,607300,613100,615400,616700,618000,620300,624000,629400,636400,644700,653500,663000,671900,678800,683300,687300,691900,697500,703000,706800,708100,705900,700400,693600,687200,682300,678600,675200,671400,667700,663800,660600,658600,657200,655800,655200,654200,652200,649400,645900,641600,637500,633500,629900,626500,622400,618200,615600,613600,611700,609400,606500,603200,600100,597700,598000,601000,604200,607500,612200,619400,624900,625400,625200,626300,625800,625600,626300,622400,613700,608800,606200,604400,602900,606300,610200,614400,618800,620100,616100,615000,620300,621000,614000,606700,603700,601300,597500,590300,583900,582500,583100,582200,586900,594500,597700,594000,589000,585900,589000,597500,605600,612700,619800,626700,631100,635600,643000,652200,660600,668200,674500,679000,683000,686300,690600,695500,697600,698200,700900,705100,709100,711900,713300,715400,720000,726100,733100,739700,743900,748200,754800,760800,766700,773800,777900,781200,787000,793400,797200,799600,798900,800100,808200,819200,826400,831700,838500,846300,855700,864100,872100,880900,892400,903100,911000,916500,923500,929900,935700,941200,929360,,,,
612,61806,10466,New York,NY,New York,Bronx,#N/A,613,156700,156600,156500,156400,156200,156000,155800,155600,155500,155600,155800,155900,156100,156400,156800,157100,157400,157600,157900,158200,158600,159300,159900,160500,161100,161800,162700,163400,164100,164800,165400,166100,166800,167600,168600,169400,170400,171400,172500,173500,174400,175200,176000,176800,177600,178600,179600,180600,181600,182700,183900,185000,186000,186900,187800,188700,189800,191000,192300,193800,195400,197300,199400,201500,203500,205500,207600,209800,212200,214700,217300,220100,223200,226400,229700,232900,235900,238700,241300,244200,247000,249000,250100,250900,251000,250600,250300,250800,252400,254800,257500,260100,262900,265800,269100,272500,276100,279300,282100,284700,287300,290400,293900,297600,301500,305600,309900,314400,319300,324500,330100,336000,341900,347800,353300,359000,364600,369800,374400,378800,382500,385600,388500,391100,393300,395200,396800,398800,401200,403100,404900,407400,410200,412700,414600,415400,415600,415500,414600,414000,413000,410000,405500,401400,397500,393800,390200,385600,380300,375000,369800,365700,361700,356000,349600,344000,338500,333000,327500,322300,318600,317000,317200,319400,322200,323200,322400,323400,326500,329800,333000,336500,337500,335800,333600,322400,309800,308900,316000,317600,315100,310700,307700,308000,309600,310800,310900,311900,312000,310700,307900,304000,301700,302700,304500,303900,303100,302200,301000,302600,306600,309100,310700,314300,318500,321400,323000,324400,325800,326900,328400,330300,330800,329600,328700,328700,328500,328900,329900,331900,333300,334200,334500,336600,340400,343700,344300,344800,346100,347800,349200,348500,345900,342800,340600,340100,340600,339900,337900,336300,334200,332600,331700,330500,332300,338100,345500,353000,359600,362600,365900,370500,375800,380600,384400,388900,394400,399800,404300,407700,410400,412200,414300,419300,424300,416100,,,,
630,62086,11374,New York,NY,New York,Queens,#N/A,631,215400,215600,215900,216400,216900,217300,217600,218200,218900,219400,219500,219500,219700,220200,221100,222100,223100,224100,225100,226300,227800,229000,229800,230400,231300,232700,234300,236200,238100,240000,241800,243900,246300,248400,250000,251400,253200,255500,258200,261000,263900,266700,269400,272400,275500,278200,280200,282100,284300,287000,290100,293300,296600,299700,302600,305800,309200,311900,313700,315300,317300,319900,323100,326500,329800,332800,335600,338600,341800,344100,345200,346000,347300,349500,352300,355300,358300,361100,364300,364400,364200,370200,383900,398800,410500,415900,416400,415000,414300,415800,419600,425600,432800,439200,444300,449200,454900,462100,470300,479000,487400,495600,503600,512000,519700,525500,529600,533900,539500,546800,555500,565100,575000,584900,594600,604300,613000,618900,621200,621800,622600,624400,626800,628700,629100,626500,620600,613600,608200,605600,605500,606800,608300,609000,608100,606000,604100,602700,601900,601700,600900,598800,595700,592200,588500,585100,582200,579600,576800,573300,570000,567500,565300,562700,559700,556400,553300,550000,547000,545600,546400,547800,550100,553700,557500,559200,559500,562200,562200,557400,554000,556100,553900,546500,541300,537400,534800,534400,536000,536100,539600,546900,551600,550900,553200,561400,564500,561100,555600,551800,547200,542400,537400,535800,538200,538400,536300,536800,540000,543100,547900,553300,558900,563400,566600,569200,572100,574900,578800,584000,591300,599300,605900,612200,619600,627200,634200,640700,645700,651500,657500,661300,663600,668900,673200,674700,676600,681400,687700,692700,695700,701300,708100,711500,715000,720700,726400,730700,733500,732600,732800,737400,744200,749900,757300,764900,769700,772300,774900,777900,780900,785400,791300,796400,798200,799900,802300,805200,808400,812300,817100,822600,827900,834200,839600,828280,,,,
685,61813,10473,New York,NY,New York,Bronx,#N/A,686,144600,145000,145400,145700,146000,146300,146600,146900,147500,148200,149000,149600,150300,151100,151800,152400,152900,153300,153700,154100,154700,155500,156200,156900,157500,158300,159000,159500,160000,160400,160900,161400,162200,163200,164300,165300,166300,167400,168500,169500,170300,171000,171700,172400,173300,174400,175600,176600,177700,178800,179800,180700,181500,182100,182800,183700,184700,186000,187500,189100,190900,192800,194700,196600,198300,199900,201700,203700,205900,208400,211200,214100,217100,220200,223200,225900,228300,230500,232500,234900,237500,239600,241200,242400,243200,243500,244100,245800,248500,251900,255100,258000,260600,262900,265300,267800,270300,272700,275100,277600,280600,284400,288600,292600,296300,299800,303400,307300,311700,316200,321100,326300,331700,337300,342900,348200,352900,356400,358700,360100,361100,362200,364000,366400,368800,371200,373500,376500,380000,383200,386500,390500,394800,399000,402500,404400,404700,403300,400300,397000,393800,390500,387300,384400,381100,377600,373900,369200,363900,358900,354200,350100,345800,340100,334100,328700,323300,318200,312700,306500,301300,298900,299500,302200,306400,308700,307800,308500,311900,315900,320900,326600,328700,328100,326400,316000,302800,298900,302900,304400,303400,300400,295900,294700,296600,299600,301000,302200,301700,300900,298300,294300,290600,287600,285300,283800,282600,279200,275900,278400,285400,291700,296300,300400,303400,306700,310200,310700,310500,310100,310200,311900,315600,316400,315800,317400,319900,321300,321900,323600,325300,326200,326800,328700,329800,330000,331000,332200,332700,334100,335500,336300,338000,340800,343600,346200,347700,347200,346100,345600,346700,351600,360700,367900,371100,374300,379100,381900,382900,384000,385100,385300,386000,387800,387700,386200,387400,392200,395800,396500,397800,400500,403000,407200,411800,404060,,,,
1534,62028,11217,New York,NY,New York,Kings,Brooklyn,1535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037600,1035300,1031400,1024000,1014300,1005800,1003700,1011200,1028200,1051000,1078100,1106500,1132200,1155400,1178600,1199400,1215600,1229400,1245600,1266500,1290300,1312500,1332700,1350300,1363900,1373300,1383000,1394700,1406800,1418400,1431300,1446800,1463600,1480000,1497900,1519200,1540700,1558100,1570600,1577400,1576200,1567700,1557900,1552700,1550900,1548800,1549300,1556500,1569800,1586000,1603400,1619500,1629000,1629000,1621800,1614600,1609300,1602900,1594800,1586900,1578800,1569600,1560900,1553300,1543700,1528100,1512500,1506100,1509200,1516200,1526100,1536900,1544500,1548800,1547100,1534700,1531000,1549200,1567300,1559000,1535500,1529300,1543800,1556000,1563500,1579000,1595500,1605300,1612100,1617400,1623300,1630800,1643000,1652500,1655600,1656300,1660600,1667200,1678100,1694000,1704300,1713300,1731200,1748400,1760400,1783500,1806400,1821800,1836200,1844300,1854300,1880100,1914100,1950100,1994600,2051400,2111700,2146000,2158600,2173100,2202400,2238400,2271000,2298000,2342400,2397200,2446100,2500000,2567600,2631700,2681400,2723800,2758400,2785800,2800600,2819900,2841800,2859300,2880100,2920000,2954600,2980400,3025700,3093200,3133500,3141100,3134900,3145200,3169400,3184600,3169600,3160000,3178300,3197300,3201400,3206600,3230000,3247900,3281700,3324900,3354800,3368600,3405900,3442900,3443800,3426000,3407000,3404100,3413800,3482900,3588100,3656000,3508980,,,,
743,62120,11434,New York,NY,New York,Queens,#N/A,744,132900,132800,132800,132800,132800,132700,132500,132500,132600,132700,132700,132700,133000,133700,134600,135800,137100,138400,139700,141200,142900,144300,145400,146200,147100,148200,149300,150300,151200,151900,152500,153300,154200,155100,155600,156200,157000,158200,159700,161400,163000,164500,166000,167500,169200,170600,171600,172600,173600,174900,176500,178000,179400,180700,181900,183200,184600,185800,186600,187300,188500,190100,192200,194300,196400,198300,200200,202300,204400,206100,207200,208000,209200,210800,212800,214900,216800,218600,220800,221800,222900,227100,235300,244200,250900,253200,252600,251200,251000,252500,255500,259500,264100,268100,271300,274400,278200,283000,288600,294300,299500,304300,308700,313100,317100,320100,322000,323900,326700,330700,335700,341300,346900,352200,357200,362200,366900,370500,373000,375600,379000,383200,388000,392900,397400,400900,402800,403800,405000,406500,408600,411300,414000,415700,415900,415100,413900,412500,410600,408600,406200,403300,399700,395700,391200,386100,380700,376000,372500,369300,366100,363100,359700,356000,352100,348300,345100,341700,338000,334400,331600,329300,327700,327200,327100,327000,327000,325900,322900,320400,321000,322000,319700,315300,312100,307600,303400,302700,304300,304000,302800,302400,302100,301400,302000,303600,303800,304500,305200,304500,302100,301600,303500,306600,309100,310400,310400,309800,310000,312200,314500,314600,314200,315300,316500,316900,317700,318300,318900,321300,324600,327500,330000,332500,335000,337600,339500,339300,337800,337700,340500,344400,346700,346400,345300,346000,347800,349000,349800,351300,354100,357600,360100,361400,362800,364800,366400,368400,370400,371500,373400,375900,377100,377700,379300,380900,382500,384400,387200,390300,391300,391000,392400,395500,397800,400100,402500,404300,406200,408100,409500,410100,410600,412500,415400,411620,,,,
1995,62041,11231,New York,NY,New York,New York,Brooklyn,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969500,940900,912300,887300,869900,862700,867700,884600,911100,943300,979600,1016900,1050700,1080900,1109000,1132100,1148200,1160200,1170900,1182700,1196200,1209600,1223500,1236900,1247200,1255800,1266000,1277100,1287600,1297700,1307900,1319800,1333100,1345100,1357000,1371600,1387600,1406900,1430100,1451100,1463900,1468500,1466900,1463800,1460800,1455000,1449300,1449000,1453200,1462600,1473500,1476700,1468700,1452800,1432700,1415800,1403400,1388600,1370300,1351400,1332300,1315900,1303000,1288900,1270400,1251800,1239800,1238800,1245400,1252000,1255000,1266300,1295800,1301900,1289300,1291600,1317400,1340200,1358000,1347300,1317600,1313700,1346900,1379000,1394100,1414800,1433000,1441600,1441900,1450200,1463800,1488600,1517000,1536600,1544800,1556000,1564700,1583200,1607000,1624100,1636500,1650200,1659100,1663400,1669000,1680700,1693400,1698400,1702800,1710600,1726700,1743900,1764800,1801400,1848000,1897400,1951200,2000900,2035200,2056600,2070900,2095800,2116900,2123600,2138300,2166300,2184600,2215000,2261600,2301800,2330000,2358300,2382100,2397500,2414300,2439600,2457700,2456800,2467500,2487000,2502600,2502900,2499600,2497500,2513500,2527700,2544600,2578200,2622700,2651400,2664600,2689600,2728700,2761500,2782900,2814900,2847300,2876900,2904500,2925300,2923800,2915300,2926600,2946300,2958800,2965400,2964400,2961600,2965300,2974000,3004000,3044500,2989880,,,,
